Started division operationnumbers 72 and -58 are wrong 
numbers -1 and 10 are wrong 
numbers 19 and -40 are wrong 
numbers 70 and -2 are wrong 
numbers 78 and -3 are wrong 
numbers 78 and -56 are wrong 
numbers -57 and 60 are wrong 
numbers -22 and 16 are wrong 
numbers -48 and 41 are wrong 
numbers -65 and 73 are wrong 
numbers -67 and 78 are wrong 
numbers -26 and 8 are wrong 
numbers 42 and -5 are wrong 
numbers 83 and -50 are wrong 
numbers -55 and 33 are wrong 
numbers -45 and 91 are wrong 
numbers -99 and 39 are wrong 
numbers -83 and 40 are wrong 
numbers -91 and 70 are wrong 
numbers -36 and 35 are wrong 
numbers -2 and 13 are wrong 
numbers -93 and 92 are wrong 
numbers 79 and -53 are wrong 
numbers 3 and -78 are wrong 
numbers 6 and -44 are wrong 
numbers 17 and -65 are wrong 
numbers -18 and 3 are wrong 
numbers 33 and -62 are wrong 
numbers -86 and 56 are wrong 
numbers 15 and -27 are wrong 
numbers 61 and -37 are wrong 
numbers -96 and 32 are wrong 
numbers -39 and 90 are wrong 
numbers 76 and -8 are wrong 
numbers 10 and -24 are wrong 
numbers -64 and 59 are wrong 
numbers -87 and 70 are wrong 
numbers -94 and 33 are wrong 
numbers -81 and 93 are wrong 
numbers -64 and 11 are wrong 
numbers -46 and 65 are wrong 
numbers -89 and 1 are wrong 
numbers -67 and 40 are wrong 
numbers -22 and 30 are wrong 
numbers 74 and -27 are wrong 
numbers -44 and 34 are wrong 
numbers 96 and -30 are wrong 
numbers 23 and -63 are wrong 
numbers 67 and -98 are wrong 
numbers -13 and 22 are wrong 
numbers 96 and -55 are wrong 
numbers -51 and 19 are wrong 
numbers -32 and 68 are wrong 
numbers 1 and -81 are wrong 
numbers 92 and -34 are wrong 
numbers -61 and 62 are wrong 
numbers -82 and 61 are wrong 
numbers -73 and 9 are wrong 
numbers 31 and -73 are wrong 
numbers -69 and 79 are wrong 
numbers 57 and -94 are wrong 
numbers -19 and 21 are wrong 
